_id,dataCollectionDate,beachName,windSpeed,windDirection,airTemp,rain,rainAmount,waterTemp,waterFowl,waveAction,waterClarity,turbidity
3473,2010-08-24,Centre Island Beach,8,E,18,Yes,NA,21.2,NA,HIGH,Clear,1.5
3474,2010-08-24,Ward's Island Beach,8,E,18,Yes,NA,20.5,NA,MOD,Clear,0.8
3475,2010-08-24,Cherry Beach,7,E,18,Yes,NA,20,16,LOW,Clear,4.3
3476,2010-08-24,Woodbine Beaches,7,E,18,Yes,NA,21,105,HIGH,Murky with algae,203
3477,2010-08-24,Kew Balmy Beach,7,E,18,Yes,NA,21,85,HIGH,"Murky, cloudy",175
3478,2010-08-24,Bluffer's Beach Park,7,E,18,Yes,NA,23,59,HIGH,Murky,139
3479,2010-09-03,Marie Curtis Park East Beach,15,SW,33,Yes,NA,23,15,LOW,clear,0.8
3480,2010-09-03,Sunnyside Beach,15,SW,33,Yes,NA,25.6,NA,LOW,cloudy,5.5
3481,2010-09-03,Hanlan's Point Beach,15,SW,33,Yes,NA,22.5,60,MOD,clear,1.8
3482,2010-09-03,Gibraltar Point Beach,15,SW,33,Yes,NA,23.5,NA,HIGH,cloudy,2.4
3483,2010-09-03,Centre Island Beach,15,SW,33,Yes,NA,23.9,NA,HIGH,cloudy,0.6
3484,2010-09-03,Ward's Island Beach,15,SW,33,Yes,NA,25.2,NA,HIGH,cloudy,2.7
3485,2010-09-03,Cherry Beach,20,W,21,Yes,NA,25,52,MOD,murky green,11
3486,2010-09-03,Woodbine Beaches,20,W,21,Yes,NA,23,112,MOD,clear,0.7
3487,2010-09-03,Kew Balmy Beach,20,W,21,Yes,NA,23,82,HIGH,murky greyish green,6
3488,2010-09-03,Bluffer's Beach Park,20,W,21,Yes,NA,22,45,MOD,clear,1.7
3489,2011-06-01,Marie Curtis Park East Beach,21,SW,25,No,NA,15,39,LOW,"clear, some debris",1.08
3490,2011-06-01,Sunnyside Beach,21,SW,25,No,NA,14,87,MOD,"clear, some debris",2.61
3491,2011-06-01,Hanlan's Point Beach,21,SW,25,No,NA,11,41,HIGH,cloudy,NA
3492,2011-06-01,Gibraltar Point Beach,21,SW,25,No,NA,11,3,HIGH,cloudy,NA
3493,2011-06-01,Centre Island Beach,21,SW,25,No,NA,11,8,MOD,cloudy,NA
3494,2010-08-22,Marie Curtis Park East Beach,10,SE,24,Yes,NA,19.4,80,LOW,Cloudy,4.2
3495,2010-08-22,Sunnyside Beach,10,SE,24,Yes,NA,19.2,NA,LOW,Cloudy,2.4
3496,2010-08-22,Hanlan's Point Beach,10,SE,24,Yes,NA,15.4,NA,LOW,Cloudy,2.1
3497,2010-08-22,Gibraltar Point Beach,10,SE,24,Yes,NA,12.3,NA,MOD,Cloudy,2.3
3498,2010-08-22,Centre Island Beach,10,SE,24,Yes,NA,18.2,NA,LOW,Cloudy,4
3499,2010-08-22,Ward's Island Beach,10,SE,24,Yes,NA,19.1,NA,LOW,Cloudy,4.6
3500,2010-08-22,Cherry Beach,10,None,22,No,NA,19.5,9,LOW,Cloudy,2.1
3501,2010-08-22,Woodbine Beaches,10,None,22,No,NA,21,55,MOD,Murky,28.9
3502,2010-08-22,Kew Balmy Beach,10,None,22,No,NA,21,30,MOD,"Murky, a lot of algae",52.6
3503,2010-08-22,Bluffer's Beach Park,10,None,22,No,NA,21,45,MOD,Murky brown,129.6
3504,2010-08-26,Marie Curtis Park East Beach,17,W,18,Yes,10,18.8,NA,NONE,clear,0.9
3505,2010-08-26,Sunnyside Beach,17,W,18,Yes,10,22.5,NA,NONE,clear,3.3
3506,2010-08-26,Hanlan's Point Beach,17,W,18,Yes,10,21.4,180,MOD,clear,0.4
3507,2010-08-26,Gibraltar Point Beach,17,W,18,Yes,10,21,NA,LOW,clear,0.7
3508,2010-08-26,Centre Island Beach,17,W,18,Yes,10,21.2,200,NONE,clear,0.6
3509,2010-08-26,Ward's Island Beach,17,W,18,Yes,10,21.4,5,LOW,clear,0.9
3510,2010-08-26,Cherry Beach,10,NW,23,Yes,10,21.6,5,LOW,clear,0.6
3511,2010-08-26,Woodbine Beaches,10,NW,23,Yes,10,21,200,LOW,semi-clear,6.6
3512,2010-08-26,Kew Balmy Beach,10,NW,23,Yes,10,21.5,30,LOW,semi-clear,4.4
3513,2010-08-26,Bluffer's Beach Park,10,NW,23,Yes,10,21.5,60,LOW,clear,2.5
3514,2011-06-01,Ward's Island Beach,21,SW,25,No,NA,12,26,HIGH,murky,NA
3515,2011-06-01,Cherry Beach,21,SW,25,No,NA,15,22,MOD,very murky,NA
3516,2011-06-01,Woodbine Beaches,21,SW,25,No,NA,10,80,LOW,clear,NA
3517,2011-06-01,Kew Balmy Beach,21,SW,25,No,NA,11,35,LOW,clear,NA
3518,2011-06-01,Bluffer's Beach Park,21,SW,25,No,NA,14,NA,HIGH,clear,NA
3519,2011-06-05,Marie Curtis Park East Beach,13,SW,27,Yes,11,9,58,LOW,"slightly cloudy/ murky in areas, some debris",1.21
3520,2011-06-05,Sunnyside Beach,13,SW,27,Yes,11,10,42,LOW,clear. some large debris,1.03
3521,2011-06-05,Hanlan's Point Beach,13,SW,27,Yes,11,11,50,LOW,clear,NA
3522,2011-06-05,Gibraltar Point Beach,13,SW,27,Yes,11,11.5,5,LOW,clear,NA
3523,2011-06-05,Centre Island Beach,13,SW,27,Yes,11,12,27,LOW,clear with algae,NA
3524,2011-06-05,Ward's Island Beach,13,SW,27,Yes,11,12,5,LOW,clear with debris,NA
3525,2011-06-05,Cherry Beach,13,SW,27,Yes,11,12,5,LOW,"clear, with debris",NA
3526,2011-06-05,Woodbine Beaches,13,SW,27,Yes,11,6,21,LOW,clear,NA
3527,2011-06-05,Kew Balmy Beach,13,SW,27,Yes,11,6,43,LOW,clear,NA
3528,2011-06-05,Bluffer's Beach Park,13,SW,27,Yes,11,12,52,NONE,murky,NA
3529,2011-06-13,Marie Curtis Park East Beach,13,NW,21,No,NA,9,78,LOW,clear,1.6
3530,2011-06-13,Sunnyside Beach,13,NW,21,No,NA,9,103,LOW,clear,1.39
3531,2011-06-13,Hanlan's Point Beach,13,NW,21,No,NA,7,13,LOW,clear,NA
3532,2011-06-13,Gibraltar Point Beach,13,NW,21,No,NA,8,10,NONE,clear,NA
3533,2011-06-13,Centre Island Beach,13,NW,21,No,NA,10,53,NONE,clear,NA
3534,2011-06-13,Ward's Island Beach,13,NW,21,No,NA,11,118,NONE,clear,NA
3535,2011-06-13,Cherry Beach,13,NW,21,No,NA,11,118,NONE,clear,NA
3536,2011-06-13,Woodbine Beaches,13,NW,21,No,NA,7,51,LOW,clear,NA
3537,2011-06-13,Kew Balmy Beach,13,NW,21,No,NA,7,6,LOW,clear,NA
3538,2011-06-13,Bluffer's Beach Park,13,NW,21,No,NA,9,NA,LOW,clear,NA
3539,2011-06-14,Marie Curtis Park East Beach,17,N,21,Yes,0,8,103,LOW,"clear, cold, little debris",0.9
3540,2011-06-14,Sunnyside Beach,17,N,21,Yes,0,8,52,LOW,"clear, cold",1.32
3541,2011-06-14,Hanlan's Point Beach,17,N,21,Yes,0,9,36,LOW,clear,NA
3542,2011-06-14,Gibraltar Point Beach,17,N,21,Yes,0,10,17,MOD,clear,NA
3543,2011-06-14,Centre Island Beach,17,N,21,Yes,0,11,25,LOW,clear,NA
3544,2011-06-14,Ward's Island Beach,17,N,21,Yes,0,11,31,LOW,clear,NA
3545,2011-06-14,Cherry Beach,17,N,21,Yes,0,10,31,LOW,clear,NA
3546,2011-06-14,Woodbine Beaches,17,N,21,Yes,0,8,40,LOW,clear,NA
3547,2011-06-14,Kew Balmy Beach,17,N,21,Yes,0,9,41,LOW,clear,NA
3548,2011-06-14,Bluffer's Beach Park,17,N,21,Yes,0,10,20,MOD,clear,NA
3549,2011-06-17,Marie Curtis Park East Beach,NA,None,20,No,NA,11,14,LOW,clear with some algae,1.36
3550,2011-06-17,Sunnyside Beach,NA,None,20,No,NA,13,48,LOW,"cloudy with some debris, algae on surface",2.09
3551,2011-06-17,Hanlan's Point Beach,NA,None,20,No,NA,NA,53,LOW,clear,NA
3552,2011-06-17,Gibraltar Point Beach,NA,None,20,No,NA,NA,215,LOW,"clear, pollen",NA
3553,2011-06-17,Centre Island Beach,NA,None,20,No,NA,NA,98,NONE,"clear, pollen",NA
3554,2011-06-17,Ward's Island Beach,NA,None,20,No,NA,NA,117,LOW,clear,NA
3555,2011-06-17,Cherry Beach,NA,None,20,No,NA,NA,48,LOW,clear,NA
3556,2011-06-17,Woodbine Beaches,NA,None,20,No,NA,12,33,LOW,murky with botanical pollen and seed,NA
3557,2011-06-17,Kew Balmy Beach,NA,None,20,No,NA,11,47,LOW,murky with botanical pollen and seed,NA
3558,2011-06-17,Bluffer's Beach Park,NA,None,20,No,NA,12,NA,MOD,very murky,NA
3559,2011-06-19,Marie Curtis Park East Beach,5,NE,23,No,NA,10,22,HIGH,clear,1.48
3560,2011-06-19,Sunnyside Beach,5,NE,23,No,NA,10,54,LOW,clear,1.53
3561,2011-06-19,Hanlan's Point Beach,5,NE,23,No,NA,13,9,LOW,clear,NA
3562,2011-06-19,Gibraltar Point Beach,5,NE,23,No,NA,13,NA,MOD,clear,NA
3563,2011-06-19,Centre Island Beach,5,NE,23,No,NA,13,4,MOD,clear,NA
3564,2011-06-19,Ward's Island Beach,5,NE,23,No,NA,14,NA,LOW,clear,NA
3565,2011-06-19,Cherry Beach,5,NE,23,No,NA,14,NA,LOW,clear,NA
3566,2011-06-19,Woodbine Beaches,5,NE,23,No,NA,10,71,MOD,murky,NA
3567,2011-06-19,Kew Balmy Beach,5,NE,23,No,NA,10,50,MOD,murky,NA
3568,2011-06-19,Bluffer's Beach Park,5,NE,23,No,NA,13,6,MOD,cloudy,NA
3569,2011-06-24,Marie Curtis Park East Beach,17,SW,22,Yes,9,16,3,LOW,murky,2.27
3570,2011-06-24,Sunnyside Beach,17,SW,22,Yes,9,17,10,LOW,murky,3.25
3571,2011-06-24,Hanlan's Point Beach,17,SW,22,Yes,9,NA,1,MOD,clear,NA
3572,2011-06-24,Gibraltar Point Beach,17,SW,22,Yes,9,NA,17,MOD,clear,NA
3573,2011-06-24,Centre Island Beach,17,SW,22,Yes,9,NA,6,MOD,clear,NA
3574,2011-06-24,Ward's Island Beach,17,SW,22,Yes,9,NA,21,LOW,clear,NA
3575,2011-06-24,Cherry Beach,17,SW,22,Yes,9,NA,15,NONE,clear. debris,NA
3576,2011-06-24,Woodbine Beaches,17,SW,22,Yes,9,15,9,LOW,murky,NA
3577,2011-06-24,Kew Balmy Beach,17,SW,22,Yes,9,15,7,LOW,murky,NA
3578,2011-06-24,Bluffer's Beach Park,17,SW,22,Yes,9,13,20,LOW,murky,NA
3579,2011-06-27,Marie Curtis Park East Beach,8,NW,25,No,NA,12,87,NONE,clear,0.72
3580,2011-06-27,Sunnyside Beach,8,NW,25,No,NA,12,52,NONE,murky,1.42
3581,2011-06-27,Hanlan's Point Beach,8,NW,25,No,NA,16,58,NONE,clear,NA
3582,2011-06-27,Gibraltar Point Beach,8,NW,25,No,NA,16,3,NONE,clear,NA
3583,2011-06-27,Centre Island Beach,8,NW,25,No,NA,17,12,NONE,clear,NA
3584,2011-06-27,Ward's Island Beach,8,NW,25,No,NA,17,90,NONE,clear,NA
3585,2011-06-27,Cherry Beach,8,NW,25,No,NA,16.5,NA,NONE,clear,NA
3586,2011-06-27,Woodbine Beaches,8,NW,25,No,NA,15,53,LOW,clear,NA
3587,2011-06-27,Kew Balmy Beach,8,NW,25,No,NA,15,37,LOW,clear,NA
3588,2011-06-27,Bluffer's Beach Park,8,NW,25,No,NA,14,5,LOW,clarity,NA
3589,2011-06-28,Marie Curtis Park East Beach,NA,None,27,No,NA,16,4,LOW,clear,NA
3590,2011-06-28,Sunnyside Beach,NA,None,27,No,NA,16,29,LOW,clear with debris,1.19
3591,2011-06-28,Hanlan's Point Beach,NA,None,27,No,NA,16,NA,LOW,clear,NA
3592,2011-06-28,Gibraltar Point Beach,NA,None,27,No,NA,16,3,LOW,clear,NA
3593,2011-06-28,Centre Island Beach,NA,None,27,No,NA,16,29,LOW,cloudy,NA
3594,2011-06-28,Ward's Island Beach,NA,None,27,No,NA,18,56,LOW,cloudy,NA
3595,2011-06-28,Cherry Beach,NA,None,27,No,NA,17,6,LOW,cloudy,NA
3596,2011-06-28,Woodbine Beaches,NA,None,27,No,NA,15,13,LOW,cloudy,NA
3597,2011-06-28,Kew Balmy Beach,NA,None,27,No,NA,15,11,LOW,cloudy,NA
3598,2011-06-28,Bluffer's Beach Park,NA,None,27,No,NA,18,8,LOW,"cloudy, small debris",NA
3599,2010-08-30,Marie Curtis Park East Beach,10,S,27,No,NA,22.5,64,LOW,clear,NA
3600,2010-08-30,Sunnyside Beach,10,S,27,No,NA,23.2,93,NONE,clear,0.7
3601,2010-08-30,Hanlan's Point Beach,10,S,27,No,NA,22.5,72,LOW,clear,NA
3602,2010-08-30,Gibraltar Point Beach,10,S,27,No,NA,22.4,12,LOW,clear,0.1
3603,2010-08-30,Centre Island Beach,10,S,27,No,NA,22.4,200,LOW,cloudy,0.8
3604,2010-08-30,Ward's Island Beach,10,S,27,No,NA,22.5,NA,LOW,clear,0.4
3605,2010-08-30,Cherry Beach,10,SW,30,No,NA,23,30,LOW,clear,1.2
3606,2010-08-30,Woodbine Beaches,10,SW,30,No,NA,19.2,50,LOW,clear,1.2
3607,2010-08-30,Kew Balmy Beach,10,SW,30,No,NA,20.5,110,LOW,semiclear,1.7
3608,2010-08-30,Bluffer's Beach Park,10,SW,30,No,NA,19.1,75,LOW,clear,1.2
3609,2010-09-06,Marie Curtis Park East Beach,6,S,13,No,NA,12.2,66,LOW,clear,1.3
3610,2010-09-06,Sunnyside Beach,6,S,13,No,NA,9.6,220,NONE,clear,0.3
3611,2010-09-06,Hanlan's Point Beach,6,S,13,No,NA,13.6,2,LOW,clear,0.8
3612,2010-09-06,Gibraltar Point Beach,6,S,13,No,NA,14.2,37,LOW,clear,0.9
3613,2010-09-06,Centre Island Beach,6,S,13,No,NA,13.9,80,LOW,clear,1
3614,2010-09-06,Ward's Island Beach,6,S,13,No,NA,16.8,NA,LOW,clear,0.7
3615,2010-09-06,Cherry Beach,10,S,13,No,NA,18.1,24,LOW,clear,0.6
3616,2010-09-06,Woodbine Beaches,10,S,13,No,NA,8,70,LOW,clear,2.2
3617,2010-09-06,Kew Balmy Beach,10,S,13,No,NA,7.1,17,LOW,clear,2.3
3618,2010-09-06,Bluffer's Beach Park,10,S,13,No,NA,7.3,7,LOW,clear,2.6
3619,2011-06-02,Marie Curtis Park East Beach,18,NW,19,No,NA,8,128,LOW,clear,0.76
3620,2011-06-02,Sunnyside Beach,18,NW,19,No,NA,9,47,LOW,clear,1.6
3621,2011-06-02,Hanlan's Point Beach,18,NW,19,No,NA,10,22,LOW,cloudy,NA
3622,2011-06-02,Gibraltar Point Beach,18,NW,19,No,NA,11,11,LOW,cloudy,NA
3623,2011-06-02,Centre Island Beach,18,NW,19,No,NA,11,26,LOW,cloudy,NA
3624,2011-06-02,Ward's Island Beach,18,NW,19,No,NA,12,97,LOW,cloudy,NA
3625,2011-06-02,Cherry Beach,18,NW,19,No,NA,15,38,LOW,murky,NA
3626,2011-06-02,Woodbine Beaches,18,NW,19,No,NA,5,27,LOW,clear,NA
3627,2011-06-02,Kew Balmy Beach,18,NW,19,No,NA,5,63,LOW,clear,NA
3628,2011-06-02,Bluffer's Beach Park,18,NW,19,No,NA,12,113,LOW,clear,NA
3629,2011-06-07,Marie Curtis Park East Beach,5,N,28,Yes,NA,15,2,MOD,"cloudy, debris, murky",14.5
3630,2011-06-07,Sunnyside Beach,5,N,28,Yes,NA,16,NA,MOD,"cloudy. debris, murky",4.42
3631,2011-06-07,Hanlan's Point Beach,5,N,28,Yes,NA,12,121,MOD,cloudy,NA
3632,2011-06-07,Gibraltar Point Beach,5,N,28,Yes,NA,12,NA,HIGH,cloudy,NA
3633,2011-06-07,Centre Island Beach,5,N,28,Yes,NA,NA,NA,HIGH,cloudy with debris,NA
3634,2011-06-07,Ward's Island Beach,5,N,28,Yes,NA,NA,NA,HIGH,cloudy with debris,NA
3635,2011-06-07,Cherry Beach,5,None,28,Yes,NA,14,NA,LOW,very murky with lots of debris,NA
3636,2011-06-07,Woodbine Beaches,5,None,28,Yes,NA,9,150,MOD,"murky, floating branches",NA
3637,2011-06-07,Kew Balmy Beach,5,None,28,Yes,NA,8,40,MOD,murky. floating branches,NA
3638,2011-06-07,Bluffer's Beach Park,5,None,28,Yes,NA,13,28,MOD,cloudy,NA
3639,2011-06-11,Marie Curtis Park East Beach,33,NE,20,No,NA,11,29,MOD,clear,1.97
3640,2011-06-11,Sunnyside Beach,33,NE,20,No,NA,12,108,LOW,cloudy,1.61
3641,2011-06-11,Hanlan's Point Beach,33,NE,20,No,NA,10,100,LOW,cloudy,NA
3642,2011-06-11,Gibraltar Point Beach,33,NE,20,No,NA,10,10,MOD,cloudy,NA
3643,2011-06-11,Centre Island Beach,33,NE,20,No,NA,11,37,MOD,clear,NA
3644,2011-06-11,Ward's Island Beach,33,NE,20,No,NA,11,90,LOW,cloudy,NA
3645,2011-06-11,Cherry Beach,33,NE,20,No,NA,11,43,LOW,cloudy,NA
3646,2011-06-11,Woodbine Beaches,33,NE,20,No,NA,8,85,LOW,murky,NA
3647,2011-06-11,Kew Balmy Beach,33,NE,20,No,NA,8,12,LOW,murky,NA
3648,2011-06-11,Bluffer's Beach Park,33,NE,20,No,NA,9,72,MOD,fairly murky,NA
3649,2011-06-12,Marie Curtis Park East Beach,17,NW,20,No,NA,10,134,LOW,clear,2.26
3650,2011-06-12,Sunnyside Beach,17,NW,20,No,NA,10,71,LOW,clear,2.36
3651,2011-06-12,Hanlan's Point Beach,17,NW,20,No,NA,12,NA,MOD,cloudy,NA
3652,2011-06-12,Gibraltar Point Beach,17,NW,20,No,NA,12,6,LOW,clear,NA
3653,2011-06-12,Centre Island Beach,17,NW,20,No,NA,12,2,LOW,clear,NA
3654,2011-06-12,Ward's Island Beach,17,NW,20,No,NA,15,1,LOW,clear,NA
3655,2011-06-12,Cherry Beach,17,NW,20,No,NA,15,30,LOW,cloudy,NA
3656,2011-06-12,Woodbine Beaches,17,NW,20,No,NA,9,82,LOW,clear,NA
3657,2011-06-12,Kew Balmy Beach,17,NW,20,No,NA,9,37,LOW,clear,NA
3658,2011-06-12,Bluffer's Beach Park,17,NW,20,No,NA,9,9,LOW,clear,NA
3659,2011-06-23,Marie Curtis Park East Beach,5,NE,22,Yes,28,13,68,LOW,clear,0.45
3660,2011-06-23,Sunnyside Beach,5,NE,22,Yes,28,15,23,LOW,clear,2.05
3661,2011-06-23,Hanlan's Point Beach,5,NE,22,Yes,28,16,18,LOW,clear,NA
3662,2011-06-23,Gibraltar Point Beach,5,NE,22,Yes,28,15,11,LOW,clear,NA
3663,2011-06-23,Centre Island Beach,5,NE,22,Yes,28,15,3,LOW,clear,NA
3664,2011-06-23,Ward's Island Beach,5,NE,22,Yes,28,17,81,HIGH,clear,NA
3665,2011-06-23,Cherry Beach,5,NE,22,Yes,28,17,69,LOW,cloudy,NA
3666,2011-06-23,Woodbine Beaches,5,NE,22,Yes,28,15,70,LOW,murky,NA
3667,2011-06-23,Kew Balmy Beach,5,NE,22,Yes,28,15,45,LOW,murky,NA
3668,2011-06-23,Bluffer's Beach Park,5,NE,22,Yes,28,13,NA,LOW,murky,NA
3669,2011-06-25,Marie Curtis Park East Beach,18,SW,22,Yes,0,15,39,MOD,"murky, wavy",1.7
3670,2011-06-25,Sunnyside Beach,18,SW,22,Yes,0,14,27,MOD,"murky, wavy, large debris",4.23
3671,2011-06-25,Hanlan's Point Beach,18,SW,22,Yes,0,16,NA,HIGH,cloudy,NA
3672,2011-06-25,Gibraltar Point Beach,18,SW,22,Yes,0,16,NA,HIGH,clear,NA
3673,2011-06-25,Centre Island Beach,18,SW,22,Yes,0,16,8,HIGH,"clear, debris",NA
3674,2011-06-25,Ward's Island Beach,18,SW,22,Yes,0,17,1,MOD,clear,NA
3675,2011-06-25,Cherry Beach,18,SW,22,Yes,0,17,1,MOD,clear,NA
3676,2011-06-25,Woodbine Beaches,18,SW,22,Yes,0,11,40,LOW,murky,NA
3677,2011-06-25,Kew Balmy Beach,18,SW,22,Yes,0,12,5,LOW,murky,NA
3678,2011-06-25,Bluffer's Beach Park,18,SW,22,Yes,0,11,NA,LOW,clear,NA
3679,2011-06-30,Marie Curtis Park East Beach,11,NW,26,No,NA,9,8,LOW,clear,0.3
3680,2011-06-30,Sunnyside Beach,11,NW,26,No,NA,8,27,LOW,clear,0.35
3681,2011-06-30,Hanlan's Point Beach,11,NW,26,No,NA,NA,14,LOW,clear,NA
3682,2011-06-30,Gibraltar Point Beach,11,NW,26,No,NA,NA,40,LOW,clear,NA
3683,2011-06-30,Centre Island Beach,11,NW,26,No,NA,NA,8,LOW,clear,NA
3684,2011-06-30,Ward's Island Beach,11,NW,26,No,NA,NA,20,LOW,clear,NA
3685,2011-06-30,Cherry Beach,11,NW,26,No,NA,17,22,LOW,clear,NA
3686,2011-06-30,Woodbine Beaches,11,NW,26,No,NA,5,79,LOW,clear,NA
3687,2011-06-30,Kew Balmy Beach,11,NW,26,No,NA,4,25,LOW,clear,NA
3688,2011-06-30,Bluffer's Beach Park,11,NW,26,No,NA,8,6,LOW,very clear,NA
3689,2011-07-02,Marie Curtis Park East Beach,13,E,29,No,NA,10,37,LOW,clear,1.11
3690,2011-07-02,Sunnyside Beach,13,E,29,No,NA,10,121,LOW,clear,1.17
3691,2011-07-02,Hanlan's Point Beach,13,E,29,No,NA,8,16,NONE,clear,NA
3692,2011-07-02,Gibraltar Point Beach,13,E,29,No,NA,10,2,LOW,"clear, debris",NA
3693,2011-07-02,Centre Island Beach,13,E,29,No,NA,13,4,LOW,clear,NA
3694,2011-07-02,Ward's Island Beach,13,E,29,No,NA,13,6,LOW,clear,NA
3695,2011-07-02,Cherry Beach,13,E,29,No,NA,14,93,LOW,clear,NA
3696,2011-07-02,Woodbine Beaches,13,E,29,No,NA,6,185,LOW,clear,NA
3697,2011-07-02,Kew Balmy Beach,13,E,29,No,NA,6,73,LOW,clear,NA
3698,2011-07-02,Bluffer's Beach Park,13,E,29,No,NA,9,NA,LOW,clear,NA
3699,2011-07-04,Marie Curtis Park East Beach,13,NW,30,No,NA,NA,18,LOW,"clear, pollen in water",0.87
3700,2011-07-04,Sunnyside Beach,13,NW,30,No,NA,NA,67,LOW,"clear, pollen in water",0.89
3701,2011-07-04,Hanlan's Point Beach,13,NW,30,No,NA,NA,NA,LOW,clear,NA
3702,2011-07-04,Gibraltar Point Beach,13,NW,30,No,NA,16,NA,LOW,clear,NA
3703,2011-07-04,Centre Island Beach,13,NW,30,No,NA,16,14,LOW,clear,NA
3704,2011-07-04,Ward's Island Beach,13,NW,30,No,NA,17,1,LOW,clear,NA
3705,2011-07-04,Cherry Beach,13,NW,30,No,NA,17,43,LOW,cloudy,NA
3706,2011-07-04,Woodbine Beaches,13,NW,30,No,NA,9,65,NONE,clear,NA
3707,2011-07-13,Marie Curtis Park East Beach,21,NW,25,No,NA,11,32,LOW,clear,1.22
3708,2011-07-13,Sunnyside Beach,21,NW,25,No,NA,12,84,LOW,clear,0.72
3709,2011-07-13,Hanlan's Point Beach,21,NW,25,No,NA,8,31,LOW,clear,NA
3710,2011-07-13,Gibraltar Point Beach,21,NW,25,No,NA,8,7,LOW,clear,NA
3711,2011-07-13,Centre Island Beach,21,NW,25,No,NA,10,55,LOW,clear,NA
3712,2011-07-13,Ward's Island Beach,21,NW,25,No,NA,10,52,LOW,clear,NA
3713,2011-07-13,Cherry Beach,21,NW,25,No,NA,15,70,LOW,clear,NA
3714,2011-07-13,Woodbine Beaches,21,NW,25,No,NA,6,137,LOW,clear,NA
3715,2011-07-13,Kew Balmy Beach,21,NW,25,No,NA,6,72,LOW,clear,NA
3716,2011-07-13,Bluffer's Beach Park,21,NW,25,No,NA,17,80,LOW,clear,NA
3717,2011-07-18,Marie Curtis Park East Beach,17,NW,30,No,NA,13,23,LOW,murky,1.01
3718,2011-07-18,Sunnyside Beach,17,NW,30,No,NA,13,47,LOW,murky,2.2
3719,2011-07-18,Hanlan's Point Beach,17,NW,30,No,NA,18,29,LOW,clear,NA
3720,2011-07-18,Gibraltar Point Beach,17,NW,30,No,NA,17,2,LOW,cloudy,NA
3721,2011-07-18,Centre Island Beach,17,NW,30,No,NA,18,60,LOW,cloudy,NA
3722,2011-07-18,Ward's Island Beach,17,NW,30,No,NA,18,19,MOD,cloudy,NA
3723,2011-07-18,Cherry Beach,17,NW,30,No,NA,20,44,LOW,clear,NA
3724,2011-07-18,Woodbine Beaches,17,NW,30,No,NA,18,18,LOW,cloudy,NA
3725,2011-07-18,Kew Balmy Beach,17,NW,30,No,NA,18,11,LOW,cloudy,NA
3726,2011-07-18,Bluffer's Beach Park,17,NW,30,No,NA,18,NA,LOW,clear,NA
3727,2011-07-12,Marie Curtis Park East Beach,9,SW,30,No,NA,14,35,LOW,cloudy,1.02
3728,2011-07-12,Sunnyside Beach,9,SW,30,No,NA,14,42,LOW,"cloudy, some algae",2.85
3729,2011-07-12,Hanlan's Point Beach,9,SW,30,No,NA,18,1,LOW,cloudy,NA
3730,2011-07-12,Gibraltar Point Beach,9,SW,30,No,NA,16,23,MOD,cloudy,NA
3731,2011-07-12,Centre Island Beach,9,SW,30,No,NA,16,200,MOD,"cloudy, algae",NA
3732,2011-07-12,Ward's Island Beach,9,SW,30,No,NA,17,38,MOD,clear,NA
3733,2011-07-12,Cherry Beach,9,SW,29,No,NA,18,87,LOW,clear,NA
3734,2011-07-12,Woodbine Beaches,9,SW,29,No,NA,8,67,LOW,clear,NA
3735,2011-07-12,Kew Balmy Beach,9,SW,29,No,NA,8,84,LOW,clear,NA
3736,2011-07-12,Bluffer's Beach Park,9,SW,29,No,NA,16,14,MOD,"fairly clear, lots of garbage in lake, few small debris",NA
3737,2011-07-20,Marie Curtis Park East Beach,5,SW,34,No,NA,14,14,LOW,murky,5.39
3738,2011-07-20,Sunnyside Beach,5,SW,34,No,NA,14,23,LOW,clear,1.03
3739,2011-07-20,Hanlan's Point Beach,5,SW,34,No,NA,17,32,NONE,clear,NA
3740,2011-07-20,Gibraltar Point Beach,5,SW,34,No,NA,19,3,NONE,clear,NA
3741,2011-07-20,Centre Island Beach,5,SW,34,No,NA,19,232,LOW,clear,NA
3742,2011-07-20,Ward's Island Beach,5,SW,34,No,NA,19,17,NONE,clear,NA
3743,2011-07-20,Cherry Beach,5,SW,34,No,NA,18,44,NONE,clear,NA
3744,2011-07-20,Woodbine Beaches,5,SW,34,No,NA,17,21,LOW,clear,NA
3745,2011-07-20,Kew Balmy Beach,5,SW,34,No,NA,17,27,LOW,clear,NA
3746,2011-07-20,Bluffer's Beach Park,5,SW,34,No,NA,20,98,LOW,clear,NA
3747,2011-07-25,Marie Curtis Park East Beach,22,NE,28,No,NA,15,20,LOW,cloudy,3.94
3748,2011-07-25,Sunnyside Beach,22,NE,28,No,NA,15,45,LOW,cloudy,0.82
3749,2011-07-25,Hanlan's Point Beach,22,NE,28,No,NA,18,88,LOW,clear,NA
3750,2011-07-25,Gibraltar Point Beach,22,NE,28,No,NA,19,NA,MOD,clear,NA
3751,2011-07-25,Centre Island Beach,22,NE,28,No,NA,19,192,MOD,cloudy,NA
3752,2011-07-25,Ward's Island Beach,22,NE,28,No,NA,19,13,LOW,clear,NA
3753,2011-07-25,Cherry Beach,22,NE,28,No,NA,20,19,LOW,clear,NA
3754,2011-07-25,Woodbine Beaches,22,NE,28,No,NA,15,130,HIGH,murky,NA
3755,2011-07-25,Kew Balmy Beach,22,NE,28,No,NA,15,10,HIGH,murky,NA
